Year,week_number,Hotel_previous_week_booking,previous_week_booking,peak
2015,26,177,3,0
2015,27,271,5,0
2015,28,341,6,1
2015,29,317,5,0
2015,30,347,6,1
2015,31,288,5,0
2015,32,345,6,0
2015,33,308,5,0
2015,34,313,5,0
2015,35,397,7,1
2015,36,316,5,0
2015,37,448,7,1
2015,38,342,6,1
2015,39,324,5,0
2015,40,457,8,1
2015,41,313,5,0
2015,42,389,6,0
2015,43,251,4,0
2015,44,367,6,1
2015,45,195,3,1
2015,46,363,6,1
2015,47,234,4,1
2015,48,404,7,1
2015,49,173,3,0
2015,50,172,3,0
2015,51,286,5,0
2015,52,276,5,0
2016,1,198,3,0
2016,2,214,4,0
2016,3,193,3,0
2016,4,181,3,0
2016,5,332,6,1
2016,6,463,8,1
2016,7,259,4,1
2016,8,427,7,1
2016,9,322,5,1
2016,10,350,6,0
2016,11,394,7,1
2016,12,445,7,1
2016,13,369,6,1
2016,14,430,7,1
2016,15,357,6,1
2016,16,447,7,1
2016,17,575,10,1
2016,18,375,6,1
2016,19,452,8,1
2016,20,472,8,1
2016,21,330,6,0
2016,22,394,7,1
2016,23,286,5,0
2016,24,343,6,1
2016,25,320,5,0
2016,26,285,5,0
2016,27,277,5,1
2016,28,327,5,0
2016,29,368,6,1
2016,30,332,6,1
2016,31,368,6,0
2016,32,332,6,0
2016,33,378,6,0
2016,34,406,7,1
2016,35,399,7,1
2016,36,361,6,1
2016,37,361,6,1
2016,38,317,5,0
2016,39,326,5,1
2016,40,406,7,1
2016,41,351,6,0
2016,42,400,7,1
2016,43,411,7,1
2016,44,528,9,1
2016,45,475,8,1
2016,46,422,7,1
2016,47,319,5,1
2016,48,345,6,1
2016,49,259,4,0
2016,50,312,5,0
2016,51,276,5,0
2016,52,258,4,0
2017,1,342,6,0
2017,2,258,4,0
2017,3,259,4,0
2017,4,339,6,1
2017,5,326,5,0
2017,6,320,5,0
2017,7,350,6,1
2017,8,441,7,1
2017,9,460,8,1
2017,10,368,6,0
2017,11,407,7,1
2017,12,329,5,0
2017,13,262,4,0
2017,14,366,6,1
2017,15,370,6,1
2017,16,476,8,1
2017,17,388,6,1
2017,18,393,7,1
2017,19,437,7,1
2017,20,387,6,1
2017,21,317,5,0
2017,22,434,7,1
2017,23,519,9,1
2017,24,358,6,1
2017,25,389,6,1
2017,26,361,6,1
2017,27,401,7,1
2017,28,348,6,1
2017,29,440,7,1
2017,30,369,6,1
2017,31,391,7,0
2017,32,422,7,1
2017,33,388,6,0
2017,34,446,7,1
2017,35,383,6,1
2017,36,277,5,0
2017,37,404,7,1
2017,38,330,6,1
2017,39,325,5,1
2017,40,432,7,1
2017,41,332,6,0
2017,42,395,7,1
2017,43,331,6,1
2017,44,448,7,1
2017,45,335,6,1
2017,46,393,7,1
2017,47,277,5,1
2017,48,375,6,0
2017,49,216,4,0
2017,50,242,4,0
2017,51,281,5,0
2017,52,267,4,0
